Id	Name	Author	Category	PublicationDate	CreationTime	ModificationTime
28	Libro 28	Mr Writer	Education	2010-02-24 00:00:00.000	2020-05-20 10:44:06.157	2020-05-20 10:44:06.157
29	Libro 29	Mr Writer	Education	2010-02-24 00:00:00.000	2020-05-20 10:44:06.157	2020-05-20 10:44:06.157
30	Libro 30	Mr Writer	Education	2010-02-24 00:00:00.000	2020-05-20 10:44:06.157	2020-05-20 10:44:06.157
31	Libro 31	Mr Writer	Education	2010-02-24 00:00:00.000	2020-05-20 10:44:06.157	2020-05-20 10:44:06.157
32	Libro 32	Mr Writer	Education	2010-02-24 00:00:00.000	2020-05-20 10:44:06.157	2020-05-20 10:44:06.157
33	Libro 33	Mr Writer	Education	2010-02-24 00:00:00.000	2020-05-20 10:44:06.157	2020-05-20 10:44:06.157
34	Libro 34	Mr Writer	Education	2010-02-24 00:00:00.000	2020-05-20 10:44:06.157	2020-05-20 10:44:06.157
35	Libro 35	Mr Writer	Education	2010-02-24 00:00:00.000	2020-05-20 10:44:06.157	2020-05-20 10:44:06.157
36	Libro 36	Mr Writer	Education	2010-02-24 00:00:00.000	2020-05-20 10:44:06.157	2020-05-20 10:44:06.157
37	Libro 37	Mr Writer	Education	2010-02-24 00:00:00.000	2020-05-20 10:44:06.157	2020-05-20 10:44:06.157
38	Libro 38	Mr Writer	Education	2010-02-24 00:00:00.000	2020-05-20 10:44:06.157	2020-05-20 10:44:06.157
39	Libro 39	Mr Writer	Education	2010-02-24 00:00:00.000	2020-05-20 10:44:06.157	2020-05-20 10:44:06.157
40	Libro 40	Mr Writer	Education	2010-02-24 00:00:00.000	2020-05-20 10:44:06.157	2020-05-20 10:44:06.157
41	Libro 41	Mr Writer	Education	2010-02-24 00:00:00.000	2020-05-20 10:44:06.157	2020-05-20 10:44:06.157
42	Libro 42	Mr Writer	Education	2010-02-24 00:00:00.000	2020-05-20 10:44:06.157	2020-05-20 10:44:06.157
43	Libro 43	Mr Writer	Education	2010-02-24 00:00:00.000	2020-05-20 10:44:06.157	2020-05-20 10:44:06.157
44	Libro 44	Mr Writer	Education	2010-02-24 00:00:00.000	2020-05-20 10:44:06.157	2020-05-20 10:44:06.157
45	Libro 45	Mr Writer	Education	2010-02-24 00:00:00.000	2020-05-20 10:44:06.157	2020-05-20 10:44:06.157
46	Libro 46	Mr Writer	Education	2010-02-24 00:00:00.000	2020-05-20 10:44:06.157	2020-05-20 10:44:06.157
47	Libro 47	Mr Writer	Education	2010-02-24 00:00:00.000	2020-05-20 10:44:06.157	2020-05-20 10:44:06.157
48	Libro 48	Mr Writer	Education	2010-02-24 00:00:00.000	2020-05-20 10:44:06.157	2020-05-20 10:44:06.157
49	Libro 49	Mr Writer	Education	2010-02-24 00:00:00.000	2020-05-20 10:44:06.157	2020-05-20 10:44:06.157
50	Libro 50	Mr Writer	Education	2010-02-24 00:00:00.000	2020-05-20 10:44:06.157	2020-05-20 10:44:06.157
